(-0.04152152243815454, 0.0)
(-0.04335515861471365, 0.0)
(-0.044991414086867076, 0.0)
(-0.04677346945173969, 0.0)
(-0.04750446122372466, 0.0)
(0.08331303454506259, 0.0)
(0.0833209129920876, 0.0)
(0.14498180972033878, -0.9194688200950623)
(0.5093292701296842, -1.2121237516403198)
(0.965876799312992, -1.1823261976242065)
(1.3631623356288374, -1.1652990579605103)
(1.7655159326901624, -0.7513251900672913)
(2.046147915484195, -0.6023371815681458)
(2.2668487506271635, -0.6395841836929321)
(2.5090808962307176, -0.5916951894760132)
(2.748095965739136, -0.6119149923324585)
(2.9413499198154422, -0.6331989765167236)
(-3.1108098422381754, -0.5980803966522217)
(-2.930101114179272, -0.5895668268203735)
(-2.7593441591595935, -0.16282260417938232)
(-2.7577798363924475, -0.028733400627970695)
(-2.7792283999289973, 0.05533840134739876)
(-2.8019761900940527, -0.035118598490953445)
(-2.8058345418090167, -0.04788900166749954)
(-2.810067565287173, -0.028733400627970695)
(-2.830157767035975, 0.023412400856614113)
(-2.8442471552961566, -0.02128399908542633)
(-2.8584075799294335, 0.06598039716482162)
(-2.8763664723340434, -0.023412400856614113)
(-2.8797967647261276, -0.041503798216581345)
(-2.876009001827592, -0.05533840134739876)
(-2.887096182313621, 0.015962999314069748)
(-2.8992999029682975, -0.028733400627970695)
(-2.9092294031213104, 0.04576060175895691)
(-2.921843757844967, -0.009577799588441849)
(-2.931462623428689, -0.009577799588441849)
(-2.919454740086746, -0.06385199725627899)
(-2.927836178432227, 0.025540800765156746)
(-2.9364227173280977, -0.02128399908542633)
(-2.944912717497872, 0.004256799817085266)
(-2.952598225093683, 0.0)
(-2.9651378817151204, -0.014898800291121006)
(-2.9535618302038706, -0.050017401576042175)
(-2.956880569616529, 0.025540800765156746)
(-2.962614172745285, -0.009577799588441849)
(-2.972474252988608, -0.008513599634170532)
(-2.9768477802089683, 0.019155599176883698)
(-2.9914692762175084, 0.014898800291121006)
(-2.9844381233995954, -0.04256799817085266)
(-2.9793775871476673, 0.0)
(-2.9828734721928, -0.015962999314069748)
(-2.992082775601539, -0.009577799588441849)
(-2.9945265254960285, 0.03086180053651333)
(-3.009638000472125, 0.0)
(-3.0095030622259458, -0.010641999542713165)
(-2.997795637105927, -0.03299019858241081)
(-2.999187702130891, 0.008513599634170532)
(-3.010569915886979, 0.004256799817085266)
(-3.0108510820303636, 0.025540800765156746)
